timestamp,symbol,action,price,quantity,reason,mode,outcome,pnl
2026-07-11T13:29:59.999Z,BTC-USD,SKIP,64136.96,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64130.83 closed as a LOSS 2.1h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-11T17:14:59.999Z,BTC-USD,SKIP,64163.95,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64130.83 closed as a LOSS 5.8h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-11T20:24:59.999Z,BTC-USD,SKIP,64294.17,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64130.83 closed as a LOSS 9.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-12T01:19:59.999Z,BTC-USD,SKIP,63950.93,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64130.83 closed as a LOSS 13.9h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-12T03:34:59.999Z,BTC-USD,SKIP,64141.31,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64141.31 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-12T07:29:59.999Z,BTC-USD,SKIP,63819.55,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64141.31 closed as a LOSS 3.9h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-12T10:14:59.999Z,BTC-USD,SKIP,63885.63,0.000000,Blocked by memory: a real BUY on BTC-USD at price 63885.63 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-12T11:39:59.999Z,BTC-USD,SKIP,63951.17,0.000000,Blocked by memory: a real BUY on BTC-USD at price 63885.63 closed as a LOSS 1.4h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-12T13:59:59.999Z,BTC-USD,SKIP,63980.52,0.000000,Blocked by memory: a real BUY on BTC-USD at price 63885.63 closed as a LOSS 3.8h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-12T14:54:59.999Z,BTC-USD,SKIP,64173.21,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64173.21 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-12T17:24:59.999Z,BTC-USD,SKIP,64088.01,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64088.01 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-12T19:04:59.999Z,BTC-USD,SKIP,64122.24,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64088.01 closed as a LOSS 1.7h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-12T23:34:59.999Z,BTC-USD,SKIP,63812.33,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64088.01 closed as a LOSS 6.2h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-13T06:09:59.999Z,BTC-USD,BUY,62790.88,0.158403,Fast MA(9)=62738.91 crossed above Slow MA(21)=62723.75 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 62924.43.,raw,WIN,21.15
2026-07-13T06:09:59.999Z,BTC-USD,SKIP,62790.88,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64088.01 closed as a LOSS 12.8h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-13T14:44:59.999Z,BTC-USD,BUY,62543.14,0.157773,Fast MA(9)=62417.54 crossed above Slow MA(21)=62412.83 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 62498.01.,raw,LOSS,-7.12
2026-07-13T14:44:59.999Z,BTC-USD,SKIP,62543.14,0.000000,Blocked by memory: a real BUY on BTC-USD at price 62543.14 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-13T19:14:59.999Z,BTC-USD,BUY,61998.21,0.159473,Fast MA(9)=61940.84 crossed above Slow MA(21)=61934.12 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 62101.21.,raw,WIN,16.43
2026-07-13T19:14:59.999Z,BTC-USD,SKIP,61998.21,0.000000,Blocked by memory: a real BUY on BTC-USD at price 62543.14 closed as a LOSS 4.5h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-13T22:29:59.999Z,BTC-USD,BUY,62097.10,0.161591,Fast MA(9)=62063.67 crossed above Slow MA(21)=62043.63 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 61840.89.,raw,LOSS,-41.40
2026-07-13T23:49:59.999Z,BTC-USD,BUY,62147.99,0.160792,Fast MA(9)=62057.93 crossed above Slow MA(21)=62031.12 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 62452.09.,raw,WIN,48.90
2026-07-14T03:09:59.999Z,BTC-USD,BUY,62415.63,0.160886,Fast MA(9)=62439.81 crossed above Slow MA(21)=62437.47 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 62397.19.,raw,LOSS,-2.97
2026-07-14T04:04:59.999Z,BTC-USD,BUY,62547.59,0.160499,Fast MA(9)=62430.76 crossed above Slow MA(21)=62420.19 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 62680.38.,raw,WIN,21.31
2026-07-13T22:29:59.999Z,BTC-USD,SKIP,62097.10,0.000000,Blocked by memory: a real BUY on BTC-USD at price 62097.1 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-13T23:49:59.999Z,BTC-USD,SKIP,62147.99,0.000000,Blocked by memory: a real BUY on BTC-USD at price 62097.1 closed as a LOSS 1.3h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-14T03:09:59.999Z,BTC-USD,SKIP,62415.63,0.000000,Blocked by memory: a real BUY on BTC-USD at price 62415.63 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
